BMS_BattCurr,BMS_RMC_CellVoltMax,BMS_SOC,BMS_BattVolt,BMS_RMC_ModuleTempMax,BMS_RMC_ModuleTempMin,abstime,VehTotDistance
0.0,3.64,36.0,334.5,31.0,28.0,0,10000
0.0,3.64,36.0,334.5,31.0,28.0,1,10000
0.0,3.64,36.0,334.5,31.0,28.0,2,10000
0.0,3.64,36.0,334.5,31.0,28.0,3,10000
0.0,3.64,36.0,334.5,31.0,28.0,4,10000
0.0,3.64,36.0,334.5,31.0,28.0,5,10000
0.0,3.64,36.0,334.5,31.0,28.0,6,10000
0.0,3.64,36.0,334.5,31.0,28.0,7,10000
0.0,3.64,36.0,334.5,31.0,28.0,8,10000
0.0,3.64,36.0,334.5,31.0,28.0,9,10000
0.0,3.64,36.0,334.5,31.0,28.0,10,10000
0.0,3.64,36.0,334.5,31.0,28.0,11,10000
-0.9,3.64,36.0,334.5,31.0,28.0,12,10000
-3.7,3.64,36.0,334.5,31.0,28.0,13,10000
-17.7,3.64,36.0,335.2,31.0,28.0,14,10000
-17.2,3.64,36.0,335.2,31.0,28.0,15,10000
-17.0,3.64,36.0,335.2,31.0,28.0,16,10000
-16.7,3.65,36.0,335.2,31.0,28.0,17,10000
-17.2,3.65,36.0,335.2,31.0,28.0,18,10000
-17.5,3.65,36.0,335.2,31.0,28.0,19,10000
-17.5,3.65,36.0,335.2,31.0,28.0,20,10000
-17.7,3.65,36.0,335.2,31.0,28.0,21,10000
-17.5,3.65,36.0,335.2,31.0,28.0,22,10000
-17.6,3.65,36.0,335.2,31.0,28.0,23,10000
-17.0,3.65,36.0,335.2,31.0,28.0,24,10000
-17.0,3.65,36.0,335.2,31.0,28.0,25,10000
-17.4,3.65,36.0,335.2,31.0,28.0,26,10000
-17.6,3.65,36.0,335.2,31.0,28.0,27,10000
-17.5,3.65,36.0,335.2,31.0,28.0,28,10000
-17.7,3.65,36.0,335.2,31.0,28.0,29,10000
-17.5,3.65,36.0,335.2,31.0,28.0,30,10000
-17.5,3.65,36.0,335.2,31.0,28.0,31,10000
-17.6,3.65,36.0,335.2,31.0,28.0,32,10000
-17.7,3.65,36.0,335.2,31.0,28.0,33,10000
-17.5,3.65,36.0,335.2,31.0,28.0,34,10000
-17.1,3.65,36.0,335.2,31.0,28.0,35,10000
